X1	X2	file	rsquared
46	1	51	1_51_model.rda	0.13915028561773
47	1	52	1_52_model.rda	0.126775930101382
48	1	53	1_53_model.rda	0.711703630376315
49	1	54	1_54_model.rda	0.558797259476715
50	1	55	1_55_model.rda	0.617687665986105
51	1	56	1_56_model.rda	0.716065883730534
52	1	58	1_58_model.rda	0.701221118926617
53	1	59	1_59_model.rda	0.944321324394348
54	1	60	1_60_model.rda	0.87876392009423
55	1	62	1_62_model.rda	0.363049121492223
56	1	65	1_65_model.rda	0.965083703832264
57	1	66	1_66_model.rda	0.917546000465744
58	1	67	1_67_model.rda	0.606941351125439
59	1	68	1_68_model.rda	0.873956880198245
60	1	69	1_69_model.rda	0.983505936045017
61	2	3	2_3_model.rda	0.890723087692627
62	2	4	2_4_model.rda	0.894986796888945
63	2	5	2_5_model.rda	0.157250551366378
64	2	6	2_6_model.rda	0.964606363773548
65	2	7	2_7_model.rda	0.874175231227884
66	2	8	2_8_model.rda	0.767725840079919
67	2	9	2_9_model.rda	0.79382277074785
68	2	10	2_10_model.rda	0.782470220935563
69	2	11	2_11_model.rda	0.799155552011783
70	2	12	2_12_model.rda	0.765027382515273
71	2	13	2_13_model.rda	0.565923809627442
72	2	14	2_14_model.rda	0.924574455081464
73	2	15	2_15_model.rda	0.947341315938408
74	2	16	2_16_model.rda	0.347146210189086
75	2	17	2_17_model.rda	0.886434022557767
76	2	18	2_18_model.rda	0.259200295976301
77	2	19	2_19_model.rda	0.519911979554098
78	2	20	2_20_model.rda	0.807426167172849
79	2	21	2_21_model.rda	0.90753200185737
80	2	22	2_22_model.rda	0.818864901832976
81	2	24	2_24_model.rda	0.439177353316371
82	2	25	2_25_model.rda	0.453060995583481
83	2	26	2_26_model.rda	0.72934744277081
84	2	27	2_27_model.rda	0.705699273222455
85	2	28	2_28_model.rda	0.340845236189902
86	2	30	2_30_model.rda	0.910288760812271
87	2	31	2_31_model.rda	0.601124161597133
88	2	32	2_32_model.rda	0.704722063444199
89	2	33	2_33_model.rda	0.0644165260342576
90	2	34	2_34_model.rda	0.612003571081755
91	2	35	2_35_model.rda	0.519671283698268
92	2	36	2_36_model.rda	0.0847202025977773
93	2	37	2_37_model.rda	0.897463385476056
94	2	38	2_38_model.rda	0.549116889074393
95	2	39	2_39_model.rda	0.713890659294123
96	2	41	2_41_model.rda	0.855836264168748
97	2	42	2_42_model.rda	0.616499694961969
98	2	43	2_43_model.rda	0.733836830046257
99	2	44	2_44_model.rda	0.872085157524551
100	2	45	2_45_model.rda	0.320143449440669
101	2	46	2_46_model.rda	0.898606329514227
102	2	48	2_48_model.rda	0.255369971916361
103	2	49	2_49_model.rda	0.49162550703937
104	2	50	2_50_model.rda	0.0737445663800615
105	2	51	2_51_model.rda	0.08268107353131
106	2	52	2_52_model.rda	0.0812571288405226
107	2	53	2_53_model.rda	0.768753833303468
108	2	54	2_54_model.rda	0.627866345385103
109	2	55	2_55_model.rda	0.671417030235445
110	2	56	2_56_model.rda	0.786750402698214
111	2	58	2_58_model.rda	0.798344398776248
112	2	59	2_59_model.rda	0.925394833675753
113	2	60	2_60_model.rda	0.895743130862609
114	2	62	2_62_model.rda	0.505224020033549
115	2	65	2_65_model.rda	0.984374591402327
116	2	66	2_66_model.rda	0.945549000267886
117	2	67	2_67_model.rda	0.705621269700465
118	2	68	2_68_model.rda	0.914321719590549
119	2	69	2_69_model.rda	0.999999859656018
120	3	4	3_4_model.rda	0.00587483795875365
121	3	5	3_5_model.rda	0.851425464380764
122	3	6	3_6_model.rda	0.999999951685229
123	3	7	3_7_model.rda	0.953800472154458
124	3	8	3_8_model.rda	0.942701695104976
125	3	9	3_9_model.rda	0.934106280750072
126	3	10	3_10_model.rda	0.972545405504485
127	3	11	3_11_model.rda	0.999998387510023
128	3	12	3_12_model.rda	0.963769019420928
129	3	13	3_13_model.rda	0.91857869865532
130	3	14	3_14_model.rda	0.967554825143213
131	3	15	3_15_model.rda	0.999999957659544
132	3	16	3_16_model.rda	0.920754457553401
133	3	17	3_17_model.rda	0.946310285335117
134	3	18	3_18_model.rda	0.923508577516836
135	3	19	3_19_model.rda	0.999999981886388
136	3	20	3_20_model.rda	0.969889888906588
137	3	21	3_21_model.rda	0.960472466250827
138	3	22	3_22_model.rda	0.935295669714535
139	3	24	3_24_model.rda	0.975682067517339
140	3	25	3_25_model.rda	0.951534344668147
141	3	26	3_26_model.rda	0.926609295414058
142	3	27	3_27_model.rda	0.93573023514094
143	3	28	3_28_model.rda	0.795013800317338
144	3	30	3_30_model.rda	0.962288700179028
145	3	31	3_31_model.rda	0.924755732133724
146	3	32	3_32_model.rda	0.949566954491308
147	3	33	3_33_model.rda	0.906059751341033
148	3	34	3_34_model.rda	0.999999988286681
149	3	35	3_35_model.rda	0.930582121456817
150	3	36	3_36_model.rda	0.891937141219944
151	3	37	3_37_model.rda	0.99999995994364
152	3	38	3_38_model.rda	0.923973594304112
153	3	39	3_39_model.rda	0.930943853161616
154	3	41	3_41_model.rda	0.948329584985776
155	3	42	3_42_model.rda	0.92357253743809
