file.name	rsquared
2_12.rda	2_12.rda	0.765930373904034
2_13.rda	2_13.rda	0.552681467957611
2_14.rda	2_14.rda	0.925032451185357
2_15.rda	2_15.rda	0.844402233893204
2_16.rda	2_16.rda	0.344649389915635
2_17.rda	2_17.rda	0.886645216141197
2_18.rda	2_18.rda	0.245635794408575
2_19.rda	2_19.rda	0.509840693269816
2_20.rda	2_20.rda	0.799985803563528
2_21.rda	2_21.rda	0.89271508781292
2_22.rda	2_22.rda	0.816890298259927
2_23.rda	2_23.rda	0.999999999984526
2_24.rda	2_24.rda	0.437945292790229
2_25.rda	2_25.rda	0.446795309660638
2_26.rda	2_26.rda	0.724036565819096
2_27.rda	2_27.rda	0.696380507639907
2_28.rda	2_28.rda	0.319232501066165
2_30.rda	2_30.rda	0.91392776814156
2_31.rda	2_31.rda	0.588872559893407
2_32.rda	2_32.rda	0.706343648974496
2_33.rda	2_33.rda	0.0655947963302282
2_34.rda	2_34.rda	0.627205509030876
2_35.rda	2_35.rda	0.544716030986165
2_36.rda	2_36.rda	0.0784781497484773
2_37.rda	2_37.rda	0.883768126252713
2_38.rda	2_38.rda	0.999999999984884
2_39.rda	2_39.rda	0.719717279696303
2_40.rda	2_40.rda	0.78553424639338
2_41.rda	2_41.rda	0.845536246559104
2_42.rda	2_42.rda	0.593137152686316
2_43.rda	2_43.rda	0.736124488428212
2_44.rda	2_44.rda	0.864445306886751
2_45.rda	2_45.rda	0.321196638222753
2_46.rda	2_46.rda	0.893635553761369
3_4.rda	3_4.rda	0.00888877120024378
3_5.rda	3_5.rda	0.845564351368021
3_6.rda	3_6.rda	0.999999975177203
3_7.rda	3_7.rda	0.954942082144667
3_8.rda	3_8.rda	0.909645664470676
3_9.rda	3_9.rda	0.940595386891154
3_10.rda	3_10.rda	0.957415329037007
3_11.rda	3_11.rda	0.999999775388163
3_12.rda	3_12.rda	0.962312634205506
3_13.rda	3_13.rda	0.919121373043156
3_14.rda	3_14.rda	0.954389032615917
3_15.rda	3_15.rda	0.999956361371512
3_16.rda	3_16.rda	0.909624107764375
3_17.rda	3_17.rda	0.940034027329822
3_18.rda	3_18.rda	0.923658179324031
3_19.rda	3_19.rda	0.963022234469434
3_20.rda	3_20.rda	0.953946113811942
3_21.rda	3_21.rda	0.949726587265289
3_22.rda	3_22.rda	0.938655800409654
3_23.rda	3_23.rda	0.999999999981189
3_24.rda	3_24.rda	0.94321254047926
3_25.rda	3_25.rda	0.919800608912903
3_26.rda	3_26.rda	0.93223569227753
3_27.rda	3_27.rda	0.91848669875181
3_28.rda	3_28.rda	0.815713604854548
3_30.rda	3_30.rda	0.97132864565453
3_31.rda	3_31.rda	0.92724804297051
3_32.rda	3_32.rda	0.947410936634397
3_33.rda	3_33.rda	0.897271485261461
3_34.rda	3_34.rda	0.999999987013421
3_35.rda	3_35.rda	0.919323012334337
