core	outsider	nonsep	gene.name
362	19	5	21	1X33157
363	12	16	17	1X33468
364	15	8	22	1X33475
365	17	2	26	1X33678
366	8	19	18	1X33981
367	20	5	20	1X34060
368	10	13	22	1X34065
369	15	18	12	1X34074
370	20	7	18	1X34243
371	17	3	25	1X34245
372	17	11	17	1X34411
373	17	16	12	1X34423
374	12	8	25	1X34431
375	33	2	10	1X34615
376	13	2	30	1X34629
377	33	2	10	1X34940
378	10	20	15	1X34945
379	12	24	9	1X34954
380	19	7	19	1X34957
381	17	15	13	1X35075
382	22	2	21	1X35096
383	18	8	19	1X35117
384	10	16	19	1X35294
385	20	9	16	1X35333
386	12	23	10	1X35348
387	17	10	18	1X35409
388	16	5	24	1X35413
389	10	18	17	1X35419
390	11	16	18	1X35431
391	30	2	13	1X35477
392	16	2	27	1X35918
393	13	18	14	1X36099
394	32	3	10	1X36258
395	11	3	31	1X36415
396	14	8	23	1X36421
397	11	17	17	1X36424
398	27	3	15	1X36600
399	33	3	9	1X36670
400	19	16	10	1X36721
401	18	17	10	1X36724
402	15	8	22	1X36787
403	27	3	15	1X36794
404	21	13	11	1X36957
405	33	2	10	1X37089
406	21	3	21	1X37263
407	20	9	16	1X37348
408	12	15	18	1X37419
409	33	5	7	1X37638
410	15	2	28	1X37711
411	25	4	16	1X37726
412	23	10	12	1X37770
413	20	10	15	1X37800
414	7	18	20	1X38129
415	9	10	26	1X38176
416	19	11	15	1X38366
417	19	8	18	1X38374
418	10	16	19	1X38381
419	24	9	12	2X38473
420	22	2	21	2X38524
421	10	13	22	2X38531
422	24	6	15	2X38562
423	24	4	17	2X38593
424	18	9	18	2X38616
425	25	10	10	2X38631
426	7	18	20	2X38670
427	33	2	10	2X38687
428	26	4	15	2X38740
429	34	2	9	2X38781
430	35	2	8	2X38783
431	30	2	13	2X38859
432	15	8	22	2X39047
433	18	9	18	2X39079
434	25	2	18	2X39089
435	4	25	16	2X39350
436	16	8	21	2X39487
437	19	3	23	2X39540
438	23	3	19	2X39562
439	31	3	11	2X39616
440	28	3	14	2X39767
441	13	8	24	2X39808
442	26	2	17	2X39926
443	22	2	21	2X39983
444	21	3	21	2X40253
445	17	9	19	2X40258
446	35	2	8	2X40308
447	16	4	25	2X40321
448	17	7	21	2X40378
449	25	3	17	2X40413
450	34	4	7	2X40416
451	35	2	8	2X40528
452	15	8	22	2X40551
453	12	19	14	2X40737
454	27	2	16	2X40743
455	10	16	19	2X40810
456	17	3	25	2X40824
457	32	4	9	2X40857
458	9	19	17	2X40873
459	28	2	15	2X40965
460	22	9	14	2X40978
461	21	8	16	2X41007
462	14	10	21	2X41012
463	13	12	20	2X41021
464	23	6	16	2X41025
465	17	6	22	2X41093
466	13	13	19	2X41205
467	27	2	16	2X41223
468	17	2	26	2X41383
469	10	7	28	2X41398
470	25	2	18	2X41419
471	16	11	18	2X41422
472	20	3	22	2X41478
473	24	5	16	2X41679
474	7	19	19	2X41680
475	9	17	19	2X41684
476	12	8	25	2X41688
477	7	23	15	2X41721
478	15	4	26	2X41875
479	9	11	25	2X41892
480	13	7	25	2X42024
481	34	2	9	2X42031
482	27	4	14	2X42035
483	34	2	9	2X42052
484	10	12	23	2X42131
485	34	2	9	2X42184
486	34	3	8	2X42312
487	21	5	19	2X42372
488	15	3	27	2X42389
489	8	9	28	2X42564
490	32	2	11	2X42568
491	18	5	22	2X42764
492	31	3	11	2X42871
493	12	9	24	2X42928
494	16	22	7	2X42941
495	34	2	9	2X42954
496	20	11	14	2X42961
497	14	11	20	2X43034
498	21	7	17	2X43035
499	29	4	12	2X43114
500	10	7	28	2X43223
501	9	15	21	2X43246
502	33	3	9	2X43281
503	11	10	24	2X43285
504	11	11	23	2X43292
505	22	6	17	2X43296
506	30	4	11	2X43298
507	27	2	16	2X43316
508	15	11	19	2X43341
509	7	15	23	2X43400
510	32	3	10	2X43423
511	18	2	25	2X43544
512	18	6	21	2X43545
513	22	8	15	2X43610
514	22	4	19	2X43645
515	9	20	16	2X43654
516	10	15	20	2X43683
517	14	12	19	2X43708
518	12	13	20	2X43725
519	15	9	21	2X43751
520	14	11	20	2X43763
521	26	2	17	2X43794
522	21	7	17	2X43824
523	8	15	22	2X43827
524	34	2	9	2X43830
525	16	5	24	2X43864
526	22	9	14	2X43880
527	30	2	13	2X43938
528	12	9	24	2X44348
529	14	10	21	2X44525
530	11	18	16	2X44619
531	12	17	16	2X44634
532	29	2	14	2X44825
533	11	9	25	2X45108
534	31	2	12	2X45249
535	9	13	23	2X45274
536	12	11	22	2X46416
537	9	10	26	2X46809
538	33	2	10	2X47291
539	19	12	14	2X47762
540	18	7	20	2X48187
541	11	8	26	2X48521
542	30	2	13	2X48674
543	18	9	18	2X48793
544	16	3	26	2X49040
545	10	13	22	2X49643
546	19	5	21	2X49663
547	10	15	20	2X49696
548	12	3	30	2X49793
549	12	10	23	2X50511
550	17	12	16	2X50652
551	11	16	18	2X50677
552	17	4	24	2X50977
553	22	8	15	2X51351
554	5	22	18	2X51428
555	24	2	19	2X51486
556	18	3	24	2X51811
557	21	11	13	2X52180
558	10	11	24	2X52232
559	18	5	22	2X52362
560	14	4	27	2X52392
561	32	2	11	2X52422
562	13	18	14	2X52454
563	22	6	17	2X52619
564	29	3	13	2X52654
565	23	5	17	2X52775
566	24	3	18	2X52784
567	16	11	18	2X52980
568	22	8	15	2X53002
569	19	11	15	2X53084
570	11	16	18	2X53309
571	32	4	9	2X53362
572	11	15	19	2X53490
573	15	14	16	2X53494
574	13	18	14	2X53525
575	21	6	18	2X53694
576	17	12	16	2X53699
577	11	8	26	2X53821
578	14	14	17	2X53861
579	13	3	29	2X54085
580	13	6	26	2X54106
581	10	18	17	2X54121
582	31	2	12	2X54135
583	26	3	16	2X54159
584	22	5	18	2X54210
585	11	20	14	2X54527
586	10	15	20	2X54574
587	26	4	15	2X54599
588	19	5	21	2X54669
589	19	10	16	2X54706
590	34	2	9	2X54709
591	30	2	13	2X54822
592	30	2	13	2X54825
593	33	2	10	2X54842
594	35	2	8	2X54853
595	27	3	15	2X54857
596	23	6	16	2X54885
597	32	4	9	2X54911
598	33	3	9	2X54918
599	20	6	19	2X54955
600	16	12	17	2X54957
601	22	10	13	2X54963
602	15	11	19	2X55222
603	16	2	27	2X55306
604	22	10	13	2X55578
605	22	3	20	2X55626
606	23	2	20	2X55692
607	18	3	24	2X55836
608	29	2	14	2X55850
609	18	8	19	2X55982
610	31	5	9	2X55985
611	13	15	17	2X56073
612	9	10	26	2X56163
613	20	7	18	2X56213
614	21	3	21	2X56256
615	20	7	18	2X56293
616	17	3	25	2X56298
617	16	2	27	2X56355
618	34	3	8	2X56393
619	9	20	16	2X56534
620	18	5	22	2X56554
621	32	3	10	2X56663
622	10	18	17	2X56664
623	33	3	9	2X56694
624	12	13	20	2X56789
625	29	4	12	2X56834
626	12	22	11	2X56838
627	21	2	22	2X56966
628	16	13	16	2X57059
629	28	2	15	2X57064
630	27	3	15	2X57159
631	34	2	9	2X57163
632	29	2	14	2X57208
633	21	3	21	2X57239
634	34	2	9	2X57263
635	34	5	6	2X57272
636	20	9	16	2X57348
637	17	11	17	2X57369
638	34	2	9	2X57438
639	21	2	22	2X57448
640	20	5	20	2X57450
641	10	11	24	2X57524
642	11	12	22	2X57536
643	23	5	17	2X57538
644	35	2	8	2X57600
645	29	2	14	2X57626
646	28	2	15	2X57628
647	34	2	9	2X57642
648	23	3	19	2X57662
649	31	5	9	2X57681
650	29	2	14	2X57694
651	30	3	12	2X57804
652	28	3	14	2X57816
653	15	7	23	2X57822
654	8	12	25	2X57851
655	15	16	14	2X57857
656	16	5	24	2X57865
657	23	5	17	2X57904
658	11	20	14	2X57920
659	11	17	17	2X57965
660	9	15	21	2X58076
661	32	3	10	2X58245
662	9	28	8	2X58269
663	21	3	21	2X58288
664	36	2	7	2X58310
665	31	2	12	2X58311
666	19	5	21	2X58366
667	24	6	15	2X58384
668	10	9	26	2X58411
669	29	2	14	2X58415
670	15	3	27	2X58452
671	11	9	25	2X58476
672	26	3	16	2X58682
673	16	10	19	2X58686
674	25	10	10	2X58737
675	15	3	27	2X58765
676	24	2	19	2X58820
677	23	7	15	2X58846
678	7	24	14	2X58876
679	25	8	12	2X58901
680	19	7	19	2X58931
681	10	25	10	2X58965
682	26	4	15	2X58982
683	33	5	7	2X59004
684	21	2	22	2X59033
685	27	6	12	2X59070
686	26	3	16	2X59106
687	27	3	15	2X59193
688	14	8	23	2X59216
689	20	8	17	2X59243
690	30	2	13	2X59267
691	21	4	20	2X59296
692	15	2	28	2X59345
693	10	12	23	2X59551
694	18	10	17	2X59612
695	25	5	15	2X59634
696	12	15	18	2X59718
697	8	20	17	2X59722
698	29	2	14	2X59736
699	19	4	22	2X59746
700	12	7	26	2X59786
701	31	2	12	2X59888
702	11	12	22	2X59930
703	22	10	13	2X60015
704	23	2	20	2X60063
705	23	2	20	2X60072
706	24	2	19	2X60086
707	20	4	21	2X60106
708	35	2	8	2X60124
709	14	17	14	2X60130
710	21	5	19	2X60137
711	10	13	22	2X60466
712	27	4	14	2X60830
713	10	18	17	2X61269
714	7	13	25	2X61504
715	22	3	20	2X61975
716	15	7	23	2X62009
717	11	7	27	2X62049
718	33	2	10	2X62232
719	10	15	20	2X62406
720	8	23	14	2X62408
721	12	14	19	2X62546
722	29	2	14	2X62550
723	22	4	19	2X62552
724	16	8	21	2X62610
725	13	13	19	2X63096
726	19	4	22	2X63392
727	16	2	27	2X63480
728	21	8	16	2X63500
729	31	2	12	2X63501
730	13	13	19	2X63790
731	30	4	11	2X63901
732	16	21	8	2X63905
733	15	8	22	2X64039
734	17	5	23	2X64135
735	13	13	19	2X64152
736	14	20	11	2X64388
737	15	9	21	2X64996
738	24	2	19	2X65664
739	33	2	10	2X65675
740	19	9	17	2X65913
741	16	8	21	2X66012
742	33	2	10	2X66948
743	25	7	13	2X66950
744	35	3	7	2X67009
745	29	3	13	2X67469
746	17	6	22	2X67941
747	19	9	17	2X67972
748	14	18	13	2X68246
749	9	17	19	2X68339
750	22	2	21	3X68733
751	30	7	8	3X69020
752	7	27	11	3X69119
753	8	28	9	3X69284
754	33	3	9	3X69363
755	19	3	23	3X69460
756	9	29	7	3X69712
757	22	10	13	3X70153
758	24	8	13	3X70173
759	14	19	12	3X70263
760	13	20	12	3X70382
761	8	23	14	3X70387
762	17	9	19	3X70430
763	40	2	3	3X70601
764	31	3	11	3X70890
765	7	32	6	3X71250
766	8	34	3	3X71748
767	16	17	12	3X72851
768	17	10	18	3X73122
769	12	19	14	3X73363
770	28	3	14	3X73419
771	11	15	19	3X73430
772	12	25	8	3X73545
773	7	32	6	3X73552
774	7	26	12	3X73713
775	20	19	6	3X73715
776	14	20	11	3X73717
777	39	2	4	3X73761
778	39	2	4	3X73813
779	6	31	8	3X73818
780	9	28	8	3X73827
781	10	26	9	3X73881
782	25	11	9	3X73886
783	16	9	20	3X74015
784	22	2	21	3X74016
785	8	34	3	3X74063
786	7	32	6	3X74068
787	9	25	11	3X74069
788	10	26	9	3X74070
789	27	5	13	3X74081
790	10	16	19	3X74369
791	9	31	5	3X74627
792	10	27	8	4X75012
793	13	24	8	4X75219
794	16	14	15	4X75632
795	7	33	5	4X75646
796	28	3	14	4X75655
797	14	16	15	4X75711
798	33	2	10	4X75787
799	8	29	8	4X76127
800	8	31	6	4X76262
801	7	31	7	4X76564
802	6	36	3	4X76565
803	14	19	12	4X76568
804	15	15	15	4X76660
805	26	4	15	4X76662
806	12	23	10	4X76684
807	15	21	9	4X76705
808	25	8	12	4X76766
809	26	7	12	4X76878
810	29	4	12	4X77071
811	35	3	7	4X77079
812	21	6	18	4X77082
813	11	26	8	4X77083
814	34	4	7	4X77163
815	15	23	7	4X77296
816	12	23	10	4X77495
817	36	2	7	4X77500
818	19	7	19	4X77629
819	30	7	8	4X77708
820	22	12	11	4X77730
821	8	33	4	4X77733
822	26	2	17	4X77983
823	16	16	13	4X77984
